name,reason
"Sridevi Multispeciality Hospital, Uttara Kannada",outside Bengaluru
"Dr Munir Bangi Hospital, Vijayapura",outside Bengaluru
"Sanjeevini Superspeciality Hospital, Vijayapura",outside Bengaluru
"Yashoda Hospital, Vijayapura",outside Bengaluru
"BLDE University Shri BM Patil Medical College Hospital, Vijayapura",outside Bengaluru
"Bijapur Kidney Foundation, Vijayapura",outside Bengaluru
"Choudhari Hospital, Vijayapura",outside Bengaluru
"Dr Bidaris Ashwini Hospital Bijapur, Vijayapura",outside Bengaluru
"Dipali Hospital, Ballari",outside Bengaluru
"Vijayanagara Institute Of Medical Science, Ballari",outside Bengaluru
"Dhanush Hospital, Bagalakote",outside Bengaluru
"Sree Thirumala Hospital, Ballari",outside Bengaluru
"S. Nijalingappa Medical College and HSK Hospital, Bagalakote",outside Bengaluru
"Narayana Hrudayalaya Private Limited, Bengaluru Urban",outside Bengaluru
"Shanti Hospital, Bagalakote",outside Bengaluru
"Akash Hospital, Devanahalli",outside Bengaluru
"Sai Preet Bhalke Vydehi Hospital, Bidar",outside Bengaluru
"M/S Kerudi Hospital and Research Centre, Bagalakote",outside Bengaluru
"Ashraya Multispeciality Hospital, Chikmagalur",outside Bengaluru
"Chitradurga Government Hospital, Chitradurga",outside Bengaluru
"Omega Hospital, Mangalore",outside Bengaluru
"KMC Hospital, Mangalore",outside Bengaluru
"Pragathi Speciality Hospital, Puttur",outside Bengaluru
"Kanachur Hospital and Research Centre, Mangalore",outside Bengaluru
"KMC Hospital - New, Mangalore",outside Bengaluru
"Mangalore Institute Of Oncology, Mangalore",outside Bengaluru
"Yenepoya Specialty Hospital, Mangalore",outside Bengaluru
"A J Hospital And Research Centre, Mangalore",outside Bengaluru
"Venkatesh Hospital, Bagalakote",outside Bengaluru
"Father Muller Medical College Hospital, Mangalore",outside Bengaluru
"Justice KS Hegde Charitable Hospital, Mangalore",outside Bengaluru
"Unity Health Complex Unit of UCHS, Mangalore",outside Bengaluru
"Wenlock District Hospital, Mangalore",outside Bengaluru
"Indiana Hospital and Heart Institute Ltd, Mangalore",outside Bengaluru
"Yenepoya Medical College Hospital, Mangalore",outside Bengaluru
"Global Multispeciality Hospital India Pvt Ltd, Mangalore",outside Bengaluru
"Bapuji Child Health Institute and Research Centre, Devanagare",outside Bengaluru
"S.S. Institute Of Medical Sciences and Research Centre, Davanagere",outside Bengaluru
"SS Narayana Hrudayalaya, Davanagere",outside Bengaluru
"Baragi Hospital, Bagalakote",outside Bengaluru
"City Central Hospital Private Limited, Davangere",outside Bengaluru
